model,var,layer,kind,value
alexnet,0,pool1,average,0.342705916843
alexnet,0,pool1,100ms,0.399655640284
alexnet,0,pool1,200ms,0.220040131855
alexnet,0,pool2,average,0.441913190071
alexnet,0,pool2,100ms,0.478176327731
alexnet,0,pool2,200ms,0.300368706612
alexnet,0,conv3,average,0.469750565647
alexnet,0,conv3,100ms,0.529116430933
alexnet,0,conv3,200ms,0.303754530929
alexnet,0,conv4,average,0.434925517167
alexnet,0,conv4,100ms,0.501664679856
alexnet,0,conv4,200ms,0.306530624372
alexnet,0,pool5,average,0.502549129468
alexnet,0,pool5,100ms,0.527802950366
alexnet,0,pool5,200ms,0.360850895138
alexnet,0,fc6,average,0.456513419718
alexnet,0,fc6,100ms,0.467463137845
alexnet,0,fc6,200ms,0.330112255183
alexnet,0,fc7,average,0.415859043952
alexnet,0,fc7,100ms,0.438009051943
alexnet,0,fc7,200ms,0.297239332346
alexnet,0,fc8,average,0.373777713897
alexnet,0,fc8,100ms,0.373300197377
alexnet,0,fc8,200ms,0.273996909192
alexnet,3,pool1,average,0.228695560509
alexnet,3,pool1,100ms,0.255921837129
alexnet,3,pool1,200ms,0.142196852835
alexnet,3,pool2,average,0.382178403229
alexnet,3,pool2,100ms,0.380069862159
alexnet,3,pool2,200ms,0.228423973353
alexnet,3,conv3,average,0.415274372769
alexnet,3,conv3,100ms,0.432196902991
alexnet,3,conv3,200ms,0.244823337467
alexnet,3,conv4,average,0.427669312856
alexnet,3,conv4,100ms,0.417752718993
alexnet,3,conv4,200ms,0.241907142842
alexnet,3,pool5,average,0.478118833958
alexnet,3,pool5,100ms,0.472707616395
alexnet,3,pool5,200ms,0.289005539535
alexnet,3,fc6,average,0.430326705719
alexnet,3,fc6,100ms,0.437991960746
alexnet,3,fc6,200ms,0.278049768599
alexnet,3,fc7,average,0.374064599934
alexnet,3,fc7,100ms,0.382449557585
alexnet,3,fc7,200ms,0.248983450766
alexnet,3,fc8,average,0.345533495582
alexnet,3,fc8,100ms,0.354800208225
alexnet,3,fc8,200ms,0.227251317786
alexnet,6,pool1,average,0.233871553222
alexnet,6,pool1,100ms,0.273279827483
alexnet,6,pool1,200ms,0.113422875962
alexnet,6,pool2,average,0.353048402151
alexnet,6,pool2,100ms,0.383602233959
alexnet,6,pool2,200ms,0.218295010456
alexnet,6,conv3,average,0.392404276391
alexnet,6,conv3,100ms,0.417094722965
alexnet,6,conv3,200ms,0.23756442112
alexnet,6,conv4,average,0.401975676699
alexnet,6,conv4,100ms,0.417994168522
alexnet,6,conv4,200ms,0.233087890096
alexnet,6,pool5,average,0.467711091259
alexnet,6,pool5,100ms,0.473929596048
alexnet,6,pool5,200ms,0.303589928512
alexnet,6,fc6,average,0.413404220692
alexnet,6,fc6,100ms,0.41879498331
alexnet,6,fc6,200ms,0.277014884584
alexnet,6,fc7,average,0.353271863432
alexnet,6,fc7,100ms,0.357787195573
alexnet,6,fc7,200ms,0.231016238471
alexnet,6,fc8,average,0.318706989931
alexnet,6,fc8,100ms,0.321601384644
alexnet,6,fc8,200ms,0.231233799617
