model,var,layer,kind,value
inceptionv1,0,block1,average,0.423174059851
inceptionv1,0,block1,100ms,0.441434571505
inceptionv1,0,block1,200ms,0.336209826238
inceptionv1,0,block2,average,0.446778059631
inceptionv1,0,block2,100ms,0.477757009118
inceptionv1,0,block2,200ms,0.362051572098
inceptionv1,0,block3,average,0.433788601785
inceptionv1,0,block3,100ms,0.463905796011
inceptionv1,0,block3,200ms,0.286224469407
inceptionv1,0,block4,average,0.473218717522
inceptionv1,0,block4,100ms,0.481263199046
inceptionv1,0,block4,200ms,0.335239405494
inceptionv1,0,block5,average,0.473537346357
inceptionv1,0,block5,100ms,0.497215122922
inceptionv1,0,block5,200ms,0.342540465595
inceptionv1,0,block6,average,0.474687864232
inceptionv1,0,block6,100ms,0.476352511625
inceptionv1,0,block6,200ms,0.341640071963
inceptionv1,0,block7,average,0.460951812335
inceptionv1,0,block7,100ms,0.479742164079
inceptionv1,0,block7,200ms,0.355690531504
inceptionv1,0,block8,average,0.440428487559
inceptionv1,0,block8,100ms,0.431342983702
inceptionv1,0,block8,200ms,0.343468372272
inceptionv1,0,block9,average,0.447673919524
inceptionv1,0,block9,100ms,0.454254137721
inceptionv1,0,block9,200ms,0.354907295947
inceptionv1,0,block10,average,0.450337090713
inceptionv1,0,block10,100ms,0.434128851086
inceptionv1,0,block10,200ms,0.330242408301
inceptionv1,0,block11,average,0.393368497647
inceptionv1,0,block11,100ms,0.386285722141
inceptionv1,0,block11,200ms,0.295218791769
inceptionv1,3,block1,average,0.299014058357
inceptionv1,3,block1,100ms,0.312938088071
inceptionv1,3,block1,200ms,0.19136479342
inceptionv1,3,block2,average,0.330198184932
inceptionv1,3,block2,100ms,0.356385482043
inceptionv1,3,block2,200ms,0.214177355702
inceptionv1,3,block3,average,0.366528613521
inceptionv1,3,block3,100ms,0.374600440114
inceptionv1,3,block3,200ms,0.220263993586
inceptionv1,3,block4,average,0.48090609392
inceptionv1,3,block4,100ms,0.465525524558
inceptionv1,3,block4,200ms,0.28518278687
inceptionv1,3,block5,average,0.456968463641
inceptionv1,3,block5,100ms,0.447922574177
inceptionv1,3,block5,200ms,0.285721145212
inceptionv1,3,block6,average,0.461498760046
inceptionv1,3,block6,100ms,0.434893590142
inceptionv1,3,block6,200ms,0.298226442625
inceptionv1,3,block7,average,0.465526454296
inceptionv1,3,block7,100ms,0.436031307395
inceptionv1,3,block7,200ms,0.305485931899
inceptionv1,3,block8,average,0.461010035191
inceptionv1,3,block8,100ms,0.427122523607
inceptionv1,3,block8,200ms,0.312508530329
inceptionv1,3,block9,average,0.453327277196
inceptionv1,3,block9,100ms,0.40392368561
inceptionv1,3,block9,200ms,0.340526502564
inceptionv1,3,block10,average,0.407890778731
inceptionv1,3,block10,100ms,0.364541994447
inceptionv1,3,block10,200ms,0.303261519071
inceptionv1,3,block11,average,0.307051193005
inceptionv1,3,block11,100ms,0.286678206747
inceptionv1,3,block11,200ms,0.24105231325
inceptionv1,6,block1,average,0.309435792626
inceptionv1,6,block1,100ms,0.331180571514
inceptionv1,6,block1,200ms,0.186776572523
inceptionv1,6,block2,average,0.338582496843
inceptionv1,6,block2,100ms,0.367321566055
inceptionv1,6,block2,200ms,0.190737106611
inceptionv1,6,block3,average,0.363568895376
inceptionv1,6,block3,100ms,0.386526244053
inceptionv1,6,block3,200ms,0.22983427565
inceptionv1,6,block4,average,0.436588837804
inceptionv1,6,block4,100ms,0.439483083849
inceptionv1,6,block4,200ms,0.282063126522
inceptionv1,6,block5,average,0.429178918929
inceptionv1,6,block5,100ms,0.418571604538
inceptionv1,6,block5,200ms,0.283683022924
inceptionv1,6,block6,average,0.430541504132
inceptionv1,6,block6,100ms,0.411140858739
inceptionv1,6,block6,200ms,0.299985562822
inceptionv1,6,block7,average,0.429000543339
inceptionv1,6,block7,100ms,0.40290554704
inceptionv1,6,block7,200ms,0.304964404224
inceptionv1,6,block8,average,0.42236561416
inceptionv1,6,block8,100ms,0.399229490919
inceptionv1,6,block8,200ms,0.314607842073
inceptionv1,6,block9,average,0.428828655495
inceptionv1,6,block9,100ms,0.372737172048
inceptionv1,6,block9,200ms,0.331435603008
inceptionv1,6,block10,average,0.374094939803
inceptionv1,6,block10,100ms,0.323420562579
inceptionv1,6,block10,200ms,0.296461184831
inceptionv1,6,block11,average,0.265206105371
inceptionv1,6,block11,100ms,0.249334889543
inceptionv1,6,block11,200ms,0.212024111895
