model,var,layer,kind,value
mobilenet,0,block1,average,0.262074088972
mobilenet,0,block1,100ms,0.277156130314
mobilenet,0,block1,200ms,0.180424400062
mobilenet,0,block2,average,0.299955270368
mobilenet,0,block2,100ms,0.327885763648
mobilenet,0,block2,200ms,0.1768805814
mobilenet,0,block3,average,0.364009266499
mobilenet,0,block3,100ms,0.355919912216
mobilenet,0,block3,200ms,0.266474613607
mobilenet,0,block4,average,0.379315181347
mobilenet,0,block4,100ms,0.412043364293
mobilenet,0,block4,200ms,0.282162621739
mobilenet,0,block5,average,0.422438023754
mobilenet,0,block5,100ms,0.458525866063
mobilenet,0,block5,200ms,0.29178086192
mobilenet,0,block6,average,0.439653898
mobilenet,0,block6,100ms,0.451356989017
mobilenet,0,block6,200ms,0.311331840247
mobilenet,0,block7,average,0.456579701913
mobilenet,0,block7,100ms,0.465156328323
mobilenet,0,block7,200ms,0.331526568835
mobilenet,0,block8,average,0.436509958905
mobilenet,0,block8,100ms,0.489036935537
mobilenet,0,block8,200ms,0.313195304774
mobilenet,0,block9,average,0.459327682288
mobilenet,0,block9,100ms,0.488252152948
mobilenet,0,block9,200ms,0.333369292727
mobilenet,0,block10,average,0.455090649978
mobilenet,0,block10,100ms,0.460117968333
mobilenet,0,block10,200ms,0.347625901721
mobilenet,0,block11,average,0.479916429507
mobilenet,0,block11,100ms,0.46072560474
mobilenet,0,block11,200ms,0.377847992061
mobilenet,0,block12,average,0.480484164487
mobilenet,0,block12,100ms,0.48409869159
mobilenet,0,block12,200ms,0.390484653038
mobilenet,0,block13,average,0.471893370042
mobilenet,0,block13,100ms,0.492642595992
mobilenet,0,block13,200ms,0.383899486793
mobilenet,0,last_conv,average,0.42279971872
mobilenet,0,last_conv,100ms,0.453482671003
mobilenet,0,last_conv,200ms,0.323666543267
mobilenet,3,block1,average,0.123092538343
mobilenet,3,block1,100ms,0.14421960747
mobilenet,3,block1,200ms,0.0793503093082
mobilenet,3,block2,average,0.186270921621
mobilenet,3,block2,100ms,0.209624117614
mobilenet,3,block2,200ms,0.108994021253
mobilenet,3,block3,average,0.19685133664
mobilenet,3,block3,100ms,0.231710907939
mobilenet,3,block3,200ms,0.104967923458
mobilenet,3,block4,average,0.308993186349
mobilenet,3,block4,100ms,0.30892357344
mobilenet,3,block4,200ms,0.18836750894
mobilenet,3,block5,average,0.325685370498
mobilenet,3,block5,100ms,0.322728094052
mobilenet,3,block5,200ms,0.201350630626
mobilenet,3,block6,average,0.412846136269
mobilenet,3,block6,100ms,0.417563937537
mobilenet,3,block6,200ms,0.253429711371
mobilenet,3,block7,average,0.426109257188
mobilenet,3,block7,100ms,0.419550912521
mobilenet,3,block7,200ms,0.244241435091
mobilenet,3,block8,average,0.439010605865
mobilenet,3,block8,100ms,0.435771296755
mobilenet,3,block8,200ms,0.26779825913
mobilenet,3,block9,average,0.447428056919
mobilenet,3,block9,100ms,0.434555021861
mobilenet,3,block9,200ms,0.280831900455
mobilenet,3,block10,average,0.455426851806
mobilenet,3,block10,100ms,0.43071379081
mobilenet,3,block10,200ms,0.283147161182
mobilenet,3,block11,average,0.479723803202
mobilenet,3,block11,100ms,0.442654755444
mobilenet,3,block11,200ms,0.311714085722
mobilenet,3,block12,average,0.49173070295
mobilenet,3,block12,100ms,0.460810384285
mobilenet,3,block12,200ms,0.342808490236
mobilenet,3,block13,average,0.456095031852
mobilenet,3,block13,100ms,0.43174988294
mobilenet,3,block13,200ms,0.302884018823
mobilenet,3,last_conv,average,0.355942270058
mobilenet,3,last_conv,100ms,0.349170240806
mobilenet,3,last_conv,200ms,0.248920354992
mobilenet,6,block1,average,0.113317133828
mobilenet,6,block1,100ms,0.131803172071
mobilenet,6,block1,200ms,0.0594690820385
mobilenet,6,block2,average,0.180870161733
mobilenet,6,block2,100ms,0.2136638026
mobilenet,6,block2,200ms,0.103504285076
mobilenet,6,block3,average,0.22868029496
mobilenet,6,block3,100ms,0.244677610425
mobilenet,6,block3,200ms,0.132632054023
mobilenet,6,block4,average,0.311508591994
mobilenet,6,block4,100ms,0.316029136917
mobilenet,6,block4,200ms,0.19744119454
mobilenet,6,block5,average,0.32032638108
mobilenet,6,block5,100ms,0.349975105409
mobilenet,6,block5,200ms,0.186391828975
mobilenet,6,block6,average,0.371501415296
mobilenet,6,block6,100ms,0.408193311037
mobilenet,6,block6,200ms,0.237204942375
mobilenet,6,block7,average,0.38222179947
mobilenet,6,block7,100ms,0.391335555116
mobilenet,6,block7,200ms,0.232892588791
mobilenet,6,block8,average,0.400735677043
mobilenet,6,block8,100ms,0.405058922522
mobilenet,6,block8,200ms,0.258297000591
mobilenet,6,block9,average,0.415968349122
mobilenet,6,block9,100ms,0.415665228206
mobilenet,6,block9,200ms,0.27706714112
mobilenet,6,block10,average,0.415141979625
mobilenet,6,block10,100ms,0.394526386965
mobilenet,6,block10,200ms,0.287395742327
mobilenet,6,block11,average,0.444516678301
mobilenet,6,block11,100ms,0.418791035243
mobilenet,6,block11,200ms,0.327916576689
mobilenet,6,block12,average,0.480269769264
mobilenet,6,block12,100ms,0.435499060751
mobilenet,6,block12,200ms,0.353109997357
mobilenet,6,block13,average,0.450089866953
mobilenet,6,block13,100ms,0.409901017772
mobilenet,6,block13,200ms,0.326414359053
mobilenet,6,last_conv,average,0.353163088882
mobilenet,6,last_conv,100ms,0.327526987409
mobilenet,6,last_conv,200ms,0.265837000531
