model,var,layer,kind,value
mobilenet,0,block1,average,0.247702546474
mobilenet,0,block1,100ms,0.295301715148
mobilenet,0,block1,200ms,0.205710293941
mobilenet,0,block2,average,0.284943325195
mobilenet,0,block2,100ms,0.317844739711
mobilenet,0,block2,200ms,0.233526690757
mobilenet,0,block3,average,0.24172345242
mobilenet,0,block3,100ms,0.274438208609
mobilenet,0,block3,200ms,0.167914386666
mobilenet,0,block4,average,0.290275484398
mobilenet,0,block4,100ms,0.30365412675
mobilenet,0,block4,200ms,0.219811934814
mobilenet,0,block5,average,0.250121443935
mobilenet,0,block5,100ms,0.300477995137
mobilenet,0,block5,200ms,0.203834437248
mobilenet,0,block6,average,0.267830296258
mobilenet,0,block6,100ms,0.293120503689
mobilenet,0,block6,200ms,0.182581789573
mobilenet,0,block7,average,0.208252794877
mobilenet,0,block7,100ms,0.235521712275
mobilenet,0,block7,200ms,0.194411977882
mobilenet,0,block8,average,4.61597342497e-19
mobilenet,0,block8,100ms,3.85279681635e-16
mobilenet,0,block8,200ms,2.91780399327e-16
mobilenet,0,block9,average,4.61597342497e-19
mobilenet,0,block9,100ms,3.85279681635e-16
mobilenet,0,block9,200ms,2.91780399327e-16
mobilenet,0,block10,average,4.61597342497e-19
mobilenet,0,block10,100ms,3.85279681635e-16
mobilenet,0,block10,200ms,2.91780399327e-16
mobilenet,0,block11,average,4.61597342497e-19
mobilenet,0,block11,100ms,3.85279681635e-16
mobilenet,0,block11,200ms,2.91780399327e-16
mobilenet,0,block12,average,4.61597342497e-19
mobilenet,0,block12,100ms,3.85279681635e-16
mobilenet,0,block12,200ms,2.91780399327e-16
mobilenet,0,block13,average,4.61597342497e-19
mobilenet,0,block13,100ms,3.85279681635e-16
mobilenet,0,block13,200ms,2.91780399327e-16
mobilenet,0,last_conv,average,4.61597342497e-19
mobilenet,0,last_conv,100ms,3.85279681635e-16
mobilenet,0,last_conv,200ms,2.91780399327e-16
mobilenet,3,block1,average,0.141854954606
mobilenet,3,block1,100ms,0.163968649101
mobilenet,3,block1,200ms,0.0787301812882
mobilenet,3,block2,average,0.138124648895
mobilenet,3,block2,100ms,0.158820145184
mobilenet,3,block2,200ms,0.0829939523066
mobilenet,3,block3,average,0.132931089911
mobilenet,3,block3,100ms,0.155363908065
mobilenet,3,block3,200ms,0.0836598398396
mobilenet,3,block4,average,0.155879250059
mobilenet,3,block4,100ms,0.184978258685
mobilenet,3,block4,200ms,0.101626484527
mobilenet,3,block5,average,0.173642638464
mobilenet,3,block5,100ms,0.199482488583
mobilenet,3,block5,200ms,0.0987143185043
mobilenet,3,block6,average,0.170079315746
mobilenet,3,block6,100ms,0.200671791512
mobilenet,3,block6,200ms,0.0916061431172
mobilenet,3,block7,average,0.193822324157
mobilenet,3,block7,100ms,0.239322788499
mobilenet,3,block7,200ms,0.0958967250678
mobilenet,3,block8,average,4.60542061484e-18
mobilenet,3,block8,100ms,1.63961356177e-16
mobilenet,3,block8,200ms,3.40852748075e-17
mobilenet,3,block9,average,4.60542061484e-18
mobilenet,3,block9,100ms,1.63961356177e-16
mobilenet,3,block9,200ms,3.40852748075e-17
mobilenet,3,block10,average,4.60542061484e-18
mobilenet,3,block10,100ms,1.63961356177e-16
mobilenet,3,block10,200ms,3.40852748075e-17
mobilenet,3,block11,average,4.60542061484e-18
mobilenet,3,block11,100ms,1.63961356177e-16
mobilenet,3,block11,200ms,3.40852748075e-17
mobilenet,3,block12,average,4.60542061484e-18
mobilenet,3,block12,100ms,1.63961356177e-16
mobilenet,3,block12,200ms,3.40852748075e-17
mobilenet,3,block13,average,4.60542061484e-18
mobilenet,3,block13,100ms,1.63961356177e-16
mobilenet,3,block13,200ms,3.40852748075e-17
mobilenet,3,last_conv,average,4.60542061484e-18
mobilenet,3,last_conv,100ms,1.63961356177e-16
mobilenet,3,last_conv,200ms,3.40852748075e-17
mobilenet,6,block1,average,0.140087063194
mobilenet,6,block1,100ms,0.179194826893
mobilenet,6,block1,200ms,0.0813755485758
mobilenet,6,block2,average,0.130288446087
mobilenet,6,block2,100ms,0.159511494214
mobilenet,6,block2,200ms,0.0658983195309
mobilenet,6,block3,average,0.174478749951
mobilenet,6,block3,100ms,0.217618693476
mobilenet,6,block3,200ms,0.098995095851
mobilenet,6,block4,average,0.176050254293
mobilenet,6,block4,100ms,0.202181048876
mobilenet,6,block4,200ms,0.115363585245
mobilenet,6,block5,average,0.201900755501
mobilenet,6,block5,100ms,0.241409555087
mobilenet,6,block5,200ms,0.105600521769
mobilenet,6,block6,average,0.179338259807
mobilenet,6,block6,100ms,0.20966617929
mobilenet,6,block6,200ms,0.0865695487426
mobilenet,6,block7,average,0.19211927794
mobilenet,6,block7,100ms,0.222191942006
mobilenet,6,block7,200ms,0.105359799774
mobilenet,6,block8,average,1.06659839814e-18
mobilenet,6,block8,100ms,1.23827936669e-16
mobilenet,6,block8,200ms,9.28488730334e-17
mobilenet,6,block9,average,1.06659839814e-18
mobilenet,6,block9,100ms,1.23827936669e-16
mobilenet,6,block9,200ms,9.28488730334e-17
mobilenet,6,block10,average,1.06659839814e-18
mobilenet,6,block10,100ms,1.23827936669e-16
mobilenet,6,block10,200ms,9.28488730334e-17
mobilenet,6,block11,average,1.06659839814e-18
mobilenet,6,block11,100ms,1.23827936669e-16
mobilenet,6,block11,200ms,9.28488730334e-17
mobilenet,6,block12,average,1.06659839814e-18
mobilenet,6,block12,100ms,1.23827936669e-16
mobilenet,6,block12,200ms,9.28488730334e-17
mobilenet,6,block13,average,1.06659839814e-18
mobilenet,6,block13,100ms,1.23827936669e-16
mobilenet,6,block13,200ms,9.28488730334e-17
mobilenet,6,last_conv,average,1.06659839814e-18
mobilenet,6,last_conv,100ms,1.23827936669e-16
