model,var,layer,kind,value
resnet50,0,block1,average,0.26946364453
resnet50,0,block1,100ms,0.276841761781
resnet50,0,block1,200ms,0.197518858068
resnet50,0,block2,average,0.364128662137
resnet50,0,block2,100ms,0.395981094216
resnet50,0,block2,200ms,0.275280027185
resnet50,0,block3,average,0.410563369382
resnet50,0,block3,100ms,0.391158286483
resnet50,0,block3,200ms,0.29565200439
resnet50,0,block4,average,0.420943329422
resnet50,0,block4,100ms,0.441780950049
resnet50,0,block4,200ms,0.345550084371
resnet50,0,block5,average,0.414461250099
resnet50,0,block5,100ms,0.419612628875
resnet50,0,block5,200ms,0.325376642877
resnet50,0,block6,average,0.424319064575
resnet50,0,block6,100ms,0.44377955767
resnet50,0,block6,200ms,0.317461317397
resnet50,0,block7,average,0.433803717737
resnet50,0,block7,100ms,0.463235699583
resnet50,0,block7,200ms,0.314675445969
resnet50,0,block8,average,0.469051119262
resnet50,0,block8,100ms,0.492596953648
resnet50,0,block8,200ms,0.357193123572
resnet50,0,block9,average,0.464129595204
resnet50,0,block9,100ms,0.489371000028
resnet50,0,block9,200ms,0.340324148253
resnet50,0,block10,average,0.462261449142
resnet50,0,block10,100ms,0.480024218632
resnet50,0,block10,200ms,0.337001145641
resnet50,0,block11,average,0.442978753301
resnet50,0,block11,100ms,0.490825037044
resnet50,0,block11,200ms,0.33780614305
resnet50,0,block12,average,0.468963268089
resnet50,0,block12,100ms,0.473900243491
resnet50,0,block12,200ms,0.338138377955
resnet50,0,block13,average,0.457284003045
resnet50,0,block13,100ms,0.46903496507
resnet50,0,block13,200ms,0.308886518859
resnet50,0,block14,average,0.487451799951
resnet50,0,block14,100ms,0.511675250307
resnet50,0,block14,200ms,0.375910718391
resnet50,0,block15,average,0.480655634814
resnet50,0,block15,100ms,0.508684141487
resnet50,0,block15,200ms,0.373969635701
resnet50,0,block16,average,0.444979193827
resnet50,0,block16,100ms,0.468780179987
resnet50,0,block16,200ms,0.314864776112
resnet50,0,block17,average,0.443739750284
resnet50,0,block17,100ms,0.452474653649
resnet50,0,block17,200ms,0.303043489137
resnet50,0,pool,average,0.447179724529
resnet50,0,pool,100ms,0.446067670932
resnet50,0,pool,200ms,0.315737282802
resnet50,0,fc1000,average,0.427792465521
resnet50,0,fc1000,100ms,0.42227657044
resnet50,0,fc1000,200ms,0.297491368809
resnet50,3,block1,average,0.0361200417634
resnet50,3,block1,100ms,0.0616766147811
resnet50,3,block1,200ms,0.0182248122355
resnet50,3,block2,average,0.214854707491
resnet50,3,block2,100ms,0.236415839918
resnet50,3,block2,200ms,0.132484552339
resnet50,3,block3,average,0.20748658686
resnet50,3,block3,100ms,0.240999323217
resnet50,3,block3,200ms,0.107012630701
resnet50,3,block4,average,0.260544708319
resnet50,3,block4,100ms,0.298712469578
resnet50,3,block4,200ms,0.16909190427
resnet50,3,block5,average,0.284338911565
resnet50,3,block5,100ms,0.320775665902
resnet50,3,block5,200ms,0.18343285826
resnet50,3,block6,average,0.343211487285
resnet50,3,block6,100ms,0.341139402943
resnet50,3,block6,200ms,0.208544236739
resnet50,3,block7,average,0.376652853733
resnet50,3,block7,100ms,0.373777741775
resnet50,3,block7,200ms,0.243928721923
resnet50,3,block8,average,0.422992925325
resnet50,3,block8,100ms,0.415328467915
resnet50,3,block8,200ms,0.274607569944
resnet50,3,block9,average,0.446328626916
resnet50,3,block9,100ms,0.432974126856
resnet50,3,block9,200ms,0.27405209103
resnet50,3,block10,average,0.450639276416
resnet50,3,block10,100ms,0.438945179956
