model,var,layer,kind,value
resnet50,0,block1,average,0.240410168752
resnet50,0,block1,100ms,0.258240177491
resnet50,0,block1,200ms,0.189026566712
resnet50,0,block2,average,0.310354836714
resnet50,0,block2,100ms,0.338415424473
resnet50,0,block2,200ms,0.25177139349
resnet50,0,block3,average,0.297480444941
resnet50,0,block3,100ms,0.343217661931
resnet50,0,block3,200ms,0.217596814634
resnet50,0,block4,average,0.297555713505
resnet50,0,block4,100ms,0.320837800898
resnet50,0,block4,200ms,0.216067354643
resnet50,0,block5,average,0.28610367167
resnet50,0,block5,100ms,0.32837468857
resnet50,0,block5,200ms,0.220752277111
resnet50,0,block6,average,0.303065395644
resnet50,0,block6,100ms,0.331804614806
resnet50,0,block6,200ms,0.245524311933
resnet50,0,block7,average,0.296721978986
resnet50,0,block7,100ms,0.329379756209
resnet50,0,block7,200ms,0.222912608195
resnet50,0,block8,average,0.285959116536
resnet50,0,block8,100ms,0.316013624039
resnet50,0,block8,200ms,0.246239108614
resnet50,0,block9,average,0.293439679694
resnet50,0,block9,100ms,0.322099006185
resnet50,0,block9,200ms,0.244540305446
resnet50,0,block10,average,0.291750224548
resnet50,0,block10,100ms,0.301282067139
resnet50,0,block10,200ms,0.20299022204
resnet50,0,block11,average,0.28562630509
resnet50,0,block11,100ms,0.30113993063
resnet50,0,block11,200ms,0.20093441615
resnet50,0,block12,average,0.275291786758
resnet50,0,block12,100ms,0.295424757712
resnet50,0,block12,200ms,0.233899705103
resnet50,0,block13,average,0.287779687297
resnet50,0,block13,100ms,0.308309730165
resnet50,0,block13,200ms,0.222873137297
resnet50,0,block14,average,0.277787560557
resnet50,0,block14,100ms,0.310083430224
resnet50,0,block14,200ms,0.22062823942
resnet50,0,block15,average,0.243646916922
resnet50,0,block15,100ms,0.281498273819
resnet50,0,block15,200ms,0.178804475106
resnet50,0,block16,average,0.277301900047
resnet50,0,block16,100ms,0.332918261364
resnet50,0,block16,200ms,0.183158613487
resnet50,0,block17,average,0.272185348583
resnet50,0,block17,100ms,0.313613041238
resnet50,0,block17,200ms,0.205228500245
resnet50,0,pool,average,0.210845824927
resnet50,0,pool,100ms,0.266358149473
resnet50,0,pool,200ms,0.13213555356
resnet50,0,fc1000,average,0.195975503626
resnet50,0,fc1000,100ms,0.264055088123
resnet50,0,fc1000,200ms,0.147525147051
resnet50,3,block1,average,0.0547863066708
resnet50,3,block1,100ms,0.0676116294091
resnet50,3,block1,200ms,0.027389522266
resnet50,3,block2,average,0.178399719854
resnet50,3,block2,100ms,0.193046004869
resnet50,3,block2,200ms,0.121822662275
resnet50,3,block3,average,0.177177631092
resnet50,3,block3,100ms,0.194209309631
resnet50,3,block3,200ms,0.105837354725
resnet50,3,block4,average,0.188515873641
resnet50,3,block4,100ms,0.218072344489
resnet50,3,block4,200ms,0.122684308794
resnet50,3,block5,average,0.184561264075
resnet50,3,block5,100ms,0.198378659364
resnet50,3,block5,200ms,0.120045977976
resnet50,3,block6,average,0.181861683136
resnet50,3,block6,100ms,0.204620970882
resnet50,3,block6,200ms,0.118886478164
resnet50,3,block7,average,0.177772151182
resnet50,3,block7,100ms,0.204576808815
resnet50,3,block7,200ms,0.108568563149
resnet50,3,block8,average,0.178843987897
resnet50,3,block8,100ms,0.199141180255
resnet50,3,block8,200ms,0.116175066287
resnet50,3,block9,average,0.178018417247
resnet50,3,block9,100ms,0.210629269315
resnet50,3,block9,200ms,0.112163253466
resnet50,3,block10,average,0.186857184101
resnet50,3,block10,100ms,0.207528593201
resnet50,3,block10,200ms,0.104374128384
resnet50,3,block11,average,0.179958535818
resnet50,3,block11,100ms,0.201686158501
resnet50,3,block11,200ms,0.113644169598
resnet50,3,block12,average,0.182999152563
resnet50,3,block12,100ms,0.209448547122
resnet50,3,block12,200ms,0.118085817897
resnet50,3,block13,average,0.180912298547
resnet50,3,block13,100ms,0.208953231786
resnet50,3,block13,200ms,0.115396923185
resnet50,3,block14,average,0.191183495019
resnet50,3,block14,100ms,0.212395519458
resnet50,3,block14,200ms,0.120267049526
resnet50,3,block15,average,0.196252267057
resnet50,3,block15,100ms,0.241150507459
resnet50,3,block15,200ms,0.112072944708
resnet50,3,block16,average,0.173617309651
resnet50,3,block16,100ms,0.203586009488
