model,var,layer,kind,value
splitbrainautoencoder,0,pool1,average,0.355705900185
splitbrainautoencoder,0,pool1,100ms,0.371384142894
splitbrainautoencoder,0,pool1,200ms,0.268277335603
splitbrainautoencoder,0,pool2,average,0.428780637525
splitbrainautoencoder,0,pool2,100ms,0.47224461212
splitbrainautoencoder,0,pool2,200ms,0.294296338729
splitbrainautoencoder,0,conv3,average,0.430673099335
splitbrainautoencoder,0,conv3,100ms,0.45906378629
splitbrainautoencoder,0,conv3,200ms,0.29950327415
splitbrainautoencoder,0,conv4,average,0.402235643564
splitbrainautoencoder,0,conv4,100ms,0.436938288707
splitbrainautoencoder,0,conv4,200ms,0.268944611162
splitbrainautoencoder,0,pool5,average,0.39648482874
splitbrainautoencoder,0,pool5,100ms,0.419310719834
splitbrainautoencoder,0,pool5,200ms,0.260062092406
splitbrainautoencoder,0,fc6,average,0.339621755873
splitbrainautoencoder,0,fc6,100ms,0.375868310297
splitbrainautoencoder,0,fc6,200ms,0.260799103679
splitbrainautoencoder,0,fc7,average,0.317461908689
splitbrainautoencoder,0,fc7,100ms,0.339572649836
splitbrainautoencoder,0,fc7,200ms,0.207414001871
splitbrainautoencoder,3,pool1,average,0.199105075768
splitbrainautoencoder,3,pool1,100ms,0.218587126842
splitbrainautoencoder,3,pool1,200ms,0.141891874928
splitbrainautoencoder,3,pool2,average,0.343693937388
splitbrainautoencoder,3,pool2,100ms,0.392009889561
splitbrainautoencoder,3,pool2,200ms,0.206244399198
splitbrainautoencoder,3,conv3,average,0.410235590306
splitbrainautoencoder,3,conv3,100ms,0.415176130235
splitbrainautoencoder,3,conv3,200ms,0.248074206537
splitbrainautoencoder,3,conv4,average,0.410057021792
splitbrainautoencoder,3,conv4,100ms,0.401423281834
splitbrainautoencoder,3,conv4,200ms,0.255053224093
splitbrainautoencoder,3,pool5,average,0.422256526923
splitbrainautoencoder,3,pool5,100ms,0.410507251764
splitbrainautoencoder,3,pool5,200ms,0.250799488361
splitbrainautoencoder,3,fc6,average,0.356704939316
splitbrainautoencoder,3,fc6,100ms,0.381413973694
splitbrainautoencoder,3,fc6,200ms,0.238442561706
splitbrainautoencoder,3,fc7,average,0.306804161315
splitbrainautoencoder,3,fc7,100ms,0.3252963074
splitbrainautoencoder,3,fc7,200ms,0.191241082909
splitbrainautoencoder,6,pool1,average,0.208190292576
splitbrainautoencoder,6,pool1,100ms,0.247097491626
splitbrainautoencoder,6,pool1,200ms,0.131285902144
splitbrainautoencoder,6,pool2,average,0.338281209492
splitbrainautoencoder,6,pool2,100ms,0.379716135485
splitbrainautoencoder,6,pool2,200ms,0.222901036629
splitbrainautoencoder,6,conv3,average,0.358216263621
splitbrainautoencoder,6,conv3,100ms,0.409183175232
splitbrainautoencoder,6,conv3,200ms,0.233455474668
splitbrainautoencoder,6,conv4,average,0.371477605488
splitbrainautoencoder,6,conv4,100ms,0.393270267589
splitbrainautoencoder,6,conv4,200ms,0.234781247783
splitbrainautoencoder,6,pool5,average,0.395797024894
splitbrainautoencoder,6,pool5,100ms,0.404711748748
splitbrainautoencoder,6,pool5,200ms,0.261857670206
splitbrainautoencoder,6,fc6,average,0.375587648411
splitbrainautoencoder,6,fc6,100ms,0.378942911594
splitbrainautoencoder,6,fc6,200ms,0.239668233586
splitbrainautoencoder,6,fc7,average,0.306419906025
splitbrainautoencoder,6,fc7,100ms,0.321967512402
splitbrainautoencoder,6,fc7,200ms,0.200479878428
