model,var,layer,kind,value
unsupervisedvideo,0,pool1,average,0.324882413175
unsupervisedvideo,0,pool1,100ms,0.359399734836
unsupervisedvideo,0,pool1,200ms,0.253200263038
unsupervisedvideo,0,pool2,average,0.399676220658
unsupervisedvideo,0,pool2,100ms,0.440076034279
unsupervisedvideo,0,pool2,200ms,0.274611217289
unsupervisedvideo,0,conv3,average,0.450093319907
unsupervisedvideo,0,conv3,100ms,0.476303314041
unsupervisedvideo,0,conv3,200ms,0.2770907927
unsupervisedvideo,0,conv4,average,0.42263739525
unsupervisedvideo,0,conv4,100ms,0.473059000118
unsupervisedvideo,0,conv4,200ms,0.264751056315
unsupervisedvideo,0,pool5,average,0.421026456667
unsupervisedvideo,0,pool5,100ms,0.475432718655
unsupervisedvideo,0,pool5,200ms,0.279070421537
unsupervisedvideo,0,fc6,average,0.386606192152
unsupervisedvideo,0,fc6,100ms,0.374157297834
unsupervisedvideo,0,fc6,200ms,0.238783325956
unsupervisedvideo,0,fc7,average,0.300119733895
unsupervisedvideo,0,fc7,100ms,0.290632990109
unsupervisedvideo,0,fc7,200ms,0.198628557514
unsupervisedvideo,3,pool1,average,0.183211465676
unsupervisedvideo,3,pool1,100ms,0.20403638279
unsupervisedvideo,3,pool1,200ms,0.120350489947
unsupervisedvideo,3,pool2,average,0.305272481443
unsupervisedvideo,3,pool2,100ms,0.355789164926
unsupervisedvideo,3,pool2,200ms,0.183864667242
unsupervisedvideo,3,conv3,average,0.352741067185
unsupervisedvideo,3,conv3,100ms,0.394422468634
unsupervisedvideo,3,conv3,200ms,0.216521193061
unsupervisedvideo,3,conv4,average,0.360921832242
unsupervisedvideo,3,conv4,100ms,0.38899498342
unsupervisedvideo,3,conv4,200ms,0.204638001599
unsupervisedvideo,3,pool5,average,0.36967691968
unsupervisedvideo,3,pool5,100ms,0.392182663344
unsupervisedvideo,3,pool5,200ms,0.20783980657
unsupervisedvideo,3,fc6,average,0.271531334954
unsupervisedvideo,3,fc6,100ms,0.283948007179
unsupervisedvideo,3,fc6,200ms,0.173551095353
unsupervisedvideo,3,fc7,average,0.19426206834
unsupervisedvideo,3,fc7,100ms,0.206446579905
unsupervisedvideo,3,fc7,200ms,0.111971798734
unsupervisedvideo,6,pool1,average,0.179736943291
unsupervisedvideo,6,pool1,100ms,0.236163265166
unsupervisedvideo,6,pool1,200ms,0.0989708223299
unsupervisedvideo,6,pool2,average,0.306781612445
unsupervisedvideo,6,pool2,100ms,0.346227738332
unsupervisedvideo,6,pool2,200ms,0.169288377997
unsupervisedvideo,6,conv3,average,0.338216934562
unsupervisedvideo,6,conv3,100ms,0.385101311846
unsupervisedvideo,6,conv3,200ms,0.190509672145
unsupervisedvideo,6,conv4,average,0.335028678619
unsupervisedvideo,6,conv4,100ms,0.38386948555
unsupervisedvideo,6,conv4,200ms,0.193233232507
unsupervisedvideo,6,pool5,average,0.349400476954
unsupervisedvideo,6,pool5,100ms,0.371934896345
unsupervisedvideo,6,pool5,200ms,0.212451296011
unsupervisedvideo,6,fc6,average,0.29204467536
unsupervisedvideo,6,fc6,100ms,0.283063968636
unsupervisedvideo,6,fc6,200ms,0.17009061411
unsupervisedvideo,6,fc7,average,0.180286796383
unsupervisedvideo,6,fc7,100ms,0.182403838654
unsupervisedvideo,6,fc7,200ms,0.105125364135
