model,var,layer,kind,value
vgg16,0,pool1,average,0.264776194308
vgg16,0,pool1,100ms,0.292728182625
vgg16,0,pool1,200ms,0.215137829337
vgg16,0,pool2,average,0.288201930714
vgg16,0,pool2,100ms,0.313048311213
vgg16,0,pool2,200ms,0.215255198658
vgg16,0,pool3,average,0.284944357626
vgg16,0,pool3,100ms,0.311920513697
vgg16,0,pool3,200ms,0.21963368892
vgg16,0,pool4,average,0.283668286063
vgg16,0,pool4,100ms,0.328322730729
vgg16,0,pool4,200ms,0.207813072531
vgg16,0,pool5,average,0.257630157065
vgg16,0,pool5,100ms,0.307382014703
vgg16,0,pool5,200ms,0.18176843951
vgg16,0,fc6,average,0.24331978944
vgg16,0,fc6,100ms,0.322463848782
vgg16,0,fc6,200ms,0.175853799017
vgg16,0,fc7,average,0.252271790764
vgg16,0,fc7,100ms,0.28570257247
vgg16,0,fc7,200ms,0.195030975113
vgg16,0,fc8,average,0.216822584644
vgg16,0,fc8,100ms,0.259823437417
vgg16,0,fc8,200ms,0.145018140306
vgg16,3,pool1,average,0.154652577582
vgg16,3,pool1,100ms,0.164769977217
vgg16,3,pool1,200ms,0.097214455711
vgg16,3,pool2,average,0.181601537827
vgg16,3,pool2,100ms,0.21109030941
vgg16,3,pool2,200ms,0.116981275607
vgg16,3,pool3,average,0.207916253622
vgg16,3,pool3,100ms,0.238348499144
vgg16,3,pool3,200ms,0.128984604255
vgg16,3,pool4,average,0.215217248717
vgg16,3,pool4,100ms,0.247360642182
vgg16,3,pool4,200ms,0.137202523616
vgg16,3,pool5,average,0.247371584588
vgg16,3,pool5,100ms,0.267324176983
vgg16,3,pool5,200ms,0.126646060365
vgg16,3,fc6,average,0.21218055162
vgg16,3,fc6,100ms,0.243032552463
vgg16,3,fc6,200ms,0.0905822060499
vgg16,3,fc7,average,0.236914061665
vgg16,3,fc7,100ms,0.278668999385
vgg16,3,fc7,200ms,0.104755961455
vgg16,3,fc8,average,0.225491164126
vgg16,3,fc8,100ms,0.26401723748
vgg16,3,fc8,200ms,0.102838718387
vgg16,6,pool1,average,0.158552940926
vgg16,6,pool1,100ms,0.184233152849
vgg16,6,pool1,200ms,0.0967169937252
vgg16,6,pool2,average,0.166019585306
vgg16,6,pool2,100ms,0.186218868146
vgg16,6,pool2,200ms,0.100908268906
vgg16,6,pool3,average,0.203284005174
vgg16,6,pool3,100ms,0.22093979784
vgg16,6,pool3,200ms,0.113775384908
vgg16,6,pool4,average,0.213146322907
vgg16,6,pool4,100ms,0.242903344466
vgg16,6,pool4,200ms,0.127985687095
vgg16,6,pool5,average,0.262432923854
vgg16,6,pool5,100ms,0.30659597972
vgg16,6,pool5,200ms,0.15277535694
vgg16,6,fc6,average,0.226587530289
vgg16,6,fc6,100ms,0.253042105645
vgg16,6,fc6,200ms,0.137606644483
vgg16,6,fc7,average,0.224922423631
vgg16,6,fc7,100ms,0.261192898002
vgg16,6,fc7,200ms,0.118075778049
vgg16,6,fc8,average,0.205342350437
vgg16,6,fc8,100ms,0.245497859102
vgg16,6,fc8,200ms,0.10755285809
