model,var,layer,kind,value
vgg19,0,pool1,average,0.326772931612
vgg19,0,pool1,100ms,0.361436262893
vgg19,0,pool1,200ms,0.240456803176
vgg19,0,pool2,average,0.38653909995
vgg19,0,pool2,100ms,0.409247177827
vgg19,0,pool2,200ms,0.315891489262
vgg19,0,pool3,average,0.468738527375
vgg19,0,pool3,100ms,0.439909894357
vgg19,0,pool3,200ms,0.339315848339
vgg19,0,pool4,average,0.488686894386
vgg19,0,pool4,100ms,0.503807153662
vgg19,0,pool4,200ms,0.37794715388
vgg19,0,pool5,average,0.456986812976
vgg19,0,pool5,100ms,0.466862040059
vgg19,0,pool5,200ms,0.353184701327
vgg19,0,fc6,average,0.395544145362
vgg19,0,fc6,100ms,0.379153661548
vgg19,0,fc6,200ms,0.329549325787
vgg19,0,fc7,average,0.390261620071
vgg19,0,fc7,100ms,0.37483069495
vgg19,0,fc7,200ms,0.314811455312
vgg19,0,fc8,average,0.372698635342
vgg19,0,fc8,100ms,0.37685360999
vgg19,0,fc8,200ms,0.28465570464
vgg19,3,pool1,average,0.161415661231
vgg19,3,pool1,100ms,0.202042426189
vgg19,3,pool1,200ms,0.102743916432
vgg19,3,pool2,average,0.227290551241
vgg19,3,pool2,100ms,0.259704495331
vgg19,3,pool2,200ms,0.149614477715
vgg19,3,pool3,average,0.371474670924
vgg19,3,pool3,100ms,0.364516164458
vgg19,3,pool3,200ms,0.218135709407
vgg19,3,pool4,average,0.450343149397
vgg19,3,pool4,100ms,0.432357024907
vgg19,3,pool4,200ms,0.287230697474
vgg19,3,pool5,average,0.443273687728
vgg19,3,pool5,100ms,0.399340271794
vgg19,3,pool5,200ms,0.302538858275
vgg19,3,fc6,average,0.391907448731
vgg19,3,fc6,100ms,0.379867850901
vgg19,3,fc6,200ms,0.272958003397
vgg19,3,fc7,average,0.329826560808
vgg19,3,fc7,100ms,0.309113481592
vgg19,3,fc7,200ms,0.228757675754
vgg19,3,fc8,average,0.292784793381
vgg19,3,fc8,100ms,0.272080652673
vgg19,3,fc8,200ms,0.2198601416061
vgg19,6,pool1,average,0.142680279382
vgg19,6,pool1,100ms,0.173809665215
vgg19,6,pool1,200ms,0.0780839753873
vgg19,6,pool2,average,0.247178263258
vgg19,6,pool2,100ms,0.2770425579
vgg19,6,pool2,200ms,0.136585097498
vgg19,6,pool3,average,0.340618462796
vgg19,6,pool3,100ms,0.373929531945
vgg19,6,pool3,200ms,0.200995181489
vgg19,6,pool4,average,0.434809808115
vgg19,6,pool4,100ms,0.411289698082
vgg19,6,pool4,200ms,0.270022003122
vgg19,6,pool5,average,0.429035786968
vgg19,6,pool5,100ms,0.360002857572
vgg19,6,pool5,200ms,0.323161477653
vgg19,6,fc6,average,0.373583618168
vgg19,6,fc6,100ms,0.316954287661
vgg19,6,fc6,200ms,0.28745604379
vgg19,6,fc7,average,0.303113855348
vgg19,6,fc7,100ms,0.279150635472
vgg19,6,fc7,200ms,0.229416352876
vgg19,6,fc8,average,0.273988326692
vgg19,6,fc8,100ms,0.251974265278
vgg19,6,fc8,200ms,0.223257806449
