model,var,layer,kind,value
xception,0,block1,average,0.283069463395
xception,0,block1,100ms,0.293887839441
xception,0,block1,200ms,0.206215200765
xception,0,block2,average,0.333413663233
xception,0,block2,100ms,0.346200866526
xception,0,block2,200ms,0.236927032158
xception,0,block3,average,0.3738662308
xception,0,block3,100ms,0.4088813791
xception,0,block3,200ms,0.291094958312
xception,0,block4,average,0.429549272617
xception,0,block4,100ms,0.453140971295
xception,0,block4,200ms,0.35647533088
xception,0,block5,average,0.445734705827
xception,0,block5,100ms,0.450579243631
xception,0,block5,200ms,0.346792452148
xception,0,block6,average,0.45507093686
xception,0,block6,100ms,0.455687876792
xception,0,block6,200ms,0.338104340299
xception,0,block7,average,0.465825144204
xception,0,block7,100ms,0.455253311743
xception,0,block7,200ms,0.385960233849
xception,0,block8,average,0.465445808257
xception,0,block8,100ms,0.487714363938
xception,0,block8,200ms,0.386989318583
xception,0,block9,average,0.479923090752
xception,0,block9,100ms,0.487361133544
xception,0,block9,200ms,0.372534345367
xception,0,block10,average,0.466958557154
xception,0,block10,100ms,0.492218938003
xception,0,block10,200ms,0.37011413339
xception,0,block11,average,0.467463351793
xception,0,block11,100ms,0.497444835966
xception,0,block11,200ms,0.382768232439
xception,0,block12,average,0.468476823899
xception,0,block12,100ms,0.479877889174
xception,0,block12,200ms,0.385771518315
xception,0,block13,average,0.465256386187
xception,0,block13,100ms,0.438337464854
xception,0,block13,200ms,0.373554737699
xception,0,block14,average,0.417687324618
xception,0,block14,100ms,0.407230966953
xception,0,block14,200ms,0.273747630986
xception,0,pool,average,0.381705486797
xception,0,pool,100ms,0.37694284094
xception,0,pool,200ms,0.285818226492
xception,0,fc,average,0.364487970033
xception,0,fc,100ms,0.359826733297
xception,0,fc,200ms,0.273198235882
xception,3,block1,average,0.197768584543
xception,3,block1,100ms,0.206768759934
xception,3,block1,200ms,0.112568482941
xception,3,block2,average,0.21321923304
xception,3,block2,100ms,0.235687944703
xception,3,block2,200ms,0.133579269427
xception,3,block3,average,0.282615036975
xception,3,block3,100ms,0.305156647781
xception,3,block3,200ms,0.184426210365
xception,3,block4,average,0.385571761432
xception,3,block4,100ms,0.361851804041
xception,3,block4,200ms,0.229178701583
xception,3,block5,average,0.41006440499
xception,3,block5,100ms,0.389921088564
xception,3,block5,200ms,0.237049291251
xception,3,block6,average,0.427518415348
xception,3,block6,100ms,0.407898610468
xception,3,block6,200ms,0.271102587773
xception,3,block7,average,0.428424596835
xception,3,block7,100ms,0.406909511721
xception,3,block7,200ms,0.264220755477
xception,3,block8,average,0.446038753082
xception,3,block8,100ms,0.419801735691
xception,3,block8,200ms,0.285743218282
xception,3,block9,average,0.45465610627
xception,3,block9,100ms,0.419632266833
xception,3,block9,200ms,0.305224708787
xception,3,block10,average,0.454472617036
xception,3,block10,100ms,0.416167231319
xception,3,block10,200ms,0.309380062503
xception,3,block11,average,0.456895574721
xception,3,block11,100ms,0.41533174805
xception,3,block11,200ms,0.309141350642
xception,3,block12,average,0.447922399055
xception,3,block12,100ms,0.407287751481
xception,3,block12,200ms,0.307011736069
xception,3,block13,average,0.443860613513
xception,3,block13,100ms,0.387518171745
xception,3,block13,200ms,0.338722966022
xception,3,block14,average,0.360489357866
xception,3,block14,100ms,0.308546204086
xception,3,block14,200ms,0.262923807582
xception,3,pool,average,0.28829386178
xception,3,pool,100ms,0.255620305186
xception,3,pool,200ms,0.20713089685
xception,3,fc,average,0.267384063831
xception,3,fc,100ms,0.245895994841
xception,3,fc,200ms,0.218190569308
xception,6,block1,average,0.198379924112
xception,6,block1,100ms,0.213645926916
xception,6,block1,200ms,0.104114563890
xception,6,block2,average,0.212884998459
xception,6,block2,100ms,0.24471423846
xception,6,block2,200ms,0.120863027027
xception,6,block3,average,0.298296123246
xception,6,block3,100ms,0.323846431044
xception,6,block3,200ms,0.189783090483
xception,6,block4,average,0.346965025124
xception,6,block4,100ms,0.377575103738
xception,6,block4,200ms,0.200340455178
xception,6,block5,average,0.376045438003
xception,6,block5,100ms,0.386161591356
xception,6,block5,200ms,0.237137574771
xception,6,block6,average,0.388682715958
xception,6,block6,100ms,0.410235449502
xception,6,block6,200ms,0.266204276719
xception,6,block7,average,0.404709360378
xception,6,block7,100ms,0.416421093436
xception,6,block7,200ms,0.265514037749
xception,6,block8,average,0.421797916074
xception,6,block8,100ms,0.42383697679
xception,6,block8,200ms,0.289530994082
xception,6,block9,average,0.427825442643
xception,6,block9,100ms,0.413385945178
xception,6,block9,200ms,0.298710023647
xception,6,block10,average,0.43791547606
xception,6,block10,100ms,0.405901976223
xception,6,block10,200ms,0.296305702956
xception,6,block11,average,0.432413541549
xception,6,block11,100ms,0.400874779148
xception,6,block11,200ms,0.304659230458
xception,6,block12,average,0.429833071252
xception,6,block12,100ms,0.401030753495
xception,6,block12,200ms,0.310381635037
xception,6,block13,average,0.438902408037
xception,6,block13,100ms,0.383381409244
xception,6,block13,200ms,0.338618061567
xception,6,block14,average,0.341123209482
xception,6,block14,100ms,0.277682178395
xception,6,block14,200ms,0.272660547747
xception,6,pool,average,0.241849281019
xception,6,pool,100ms,0.224150781056
xception,6,pool,200ms,0.212243404766
xception,6,fc,average,0.230260628486
xception,6,fc,100ms,0.203620346248
xception,6,fc,200ms,0.199726646778
