model,var,layer,kind,value
xception,0,block1,average,0.22903577412
xception,0,block1,100ms,0.242891307926
xception,0,block1,200ms,0.175998087114
xception,0,block2,average,0.235977560355
xception,0,block2,100ms,0.256783017163
xception,0,block2,200ms,0.18440688519
xception,0,block3,average,0.23849027163
xception,0,block3,100ms,0.273684239276
xception,0,block3,200ms,0.185569282027
xception,0,block4,average,0.239989352506
xception,0,block4,100ms,0.283889572568
xception,0,block4,200ms,0.195969249374
xception,0,block5,average,0.242243578297
xception,0,block5,100ms,0.273046612325
xception,0,block5,200ms,0.192943187117
xception,0,block6,average,0.228233873867
xception,0,block6,100ms,0.278805923819
xception,0,block6,200ms,0.204294947109
xception,0,block7,average,0.258269678881
xception,0,block7,100ms,0.294506437504
xception,0,block7,200ms,0.212071197869
xception,0,block8,average,0.2371383366
xception,0,block8,100ms,0.275183525231
xception,0,block8,200ms,0.180440464324
xception,0,block9,average,0.228599860837
xception,0,block9,100ms,0.259938712742
xception,0,block9,200ms,0.192687823243
xception,0,block10,average,0.239011439736
xception,0,block10,100ms,0.252321185259
xception,0,block10,200ms,0.196672294255
xception,0,block11,average,0.230031054225
xception,0,block11,100ms,0.278447697988
xception,0,block11,200ms,0.182951436553
xception,0,block12,average,0.228094313589
xception,0,block12,100ms,0.257005772572
xception,0,block12,200ms,0.168578087411
xception,0,block13,average,0.186163550267
xception,0,block13,100ms,0.200970080332
xception,0,block13,200ms,0.183669770915
xception,0,block14,average,0.200909899943
xception,0,block14,100ms,0.21002899198
xception,0,block14,200ms,0.144775229397
xception,0,pool,average,0.159350790035
xception,0,pool,100ms,0.192197669517
xception,0,pool,200ms,0.122201914268
xception,0,fc,average,0.143674229804
xception,0,fc,100ms,0.195128904186
xception,0,fc,200ms,0.0922688458013
xception,3,block1,average,0.113657054155
xception,3,block1,100ms,0.137572741449
xception,3,block1,200ms,0.0560850984625
xception,3,block2,average,0.109567786316
xception,3,block2,100ms,0.1366137957
xception,3,block2,200ms,0.0574346793093
xception,3,block3,average,0.123450833728
xception,3,block3,100ms,0.141726919835
xception,3,block3,200ms,0.072520516139
xception,3,block4,average,0.0887467230396
xception,3,block4,100ms,0.120799245914
xception,3,block4,200ms,0.0584879973469
xception,3,block5,average,0.0846626786
xception,3,block5,100ms,0.114311442106
xception,3,block5,200ms,0.0517232353731
xception,3,block6,average,0.0972901633104
xception,3,block6,100ms,0.126905009666
xception,3,block6,200ms,0.0593185152748
xception,3,block7,average,0.0970435579916
xception,3,block7,100ms,0.118708901713
xception,3,block7,200ms,0.061042123533
xception,3,block8,average,0.0974850343106
xception,3,block8,100ms,0.132724131927
xception,3,block8,200ms,0.0525421849299
xception,3,block9,average,0.0926410764532
xception,3,block9,100ms,0.118184910648
xception,3,block9,200ms,0.0565146372551
xception,3,block10,average,0.0918814457322
xception,3,block10,100ms,0.121446508044
xception,3,block10,200ms,0.0604863521246
xception,3,block11,average,0.0982942935462
xception,3,block11,100ms,0.116822690534
xception,3,block11,200ms,0.049796796033
xception,3,block12,average,0.0919021196581
xception,3,block12,100ms,0.122484166614
xception,3,block12,200ms,0.0533306425528
xception,3,block13,average,0.0844002059831
xception,3,block13,100ms,0.103272414913
xception,3,block13,200ms,0.0488684802204
xception,3,block14,average,0.110602181373
xception,3,block14,100ms,0.153675736657
xception,3,block14,200ms,0.0622092723478
xception,3,pool,average,0.0902261805684
xception,3,pool,100ms,0.135468555143
xception,3,pool,200ms,0.0485654718526
xception,3,fc,average,0.0728058839522
xception,3,fc,100ms,0.119970433265
xception,3,fc,200ms,0.0449338008974
xception,6,block1,average,0.0992287417048
xception,6,block1,100ms,0.129869211277
xception,6,block1,200ms,0.0518999599654
xception,6,block2,average,0.0940914900455
xception,6,block2,100ms,0.114517275096
xception,6,block2,200ms,0.052427849317
xception,6,block3,average,0.0721641973559
xception,6,block3,100ms,0.102661841016
xception,6,block3,200ms,0.0426116751597
xception,6,block4,average,0.0718866413976
xception,6,block4,100ms,0.0912405086895
xception,6,block4,200ms,0.0408614006777
xception,6,block5,average,0.0653855085855
xception,6,block5,100ms,0.0869594630247
xception,6,block5,200ms,0.0356761593731
xception,6,block6,average,0.0735074304304
xception,6,block6,100ms,0.0938688147056
xception,6,block6,200ms,0.0483853437085
xception,6,block7,average,0.073019696913
xception,6,block7,100ms,0.103256676917
xception,6,block7,200ms,0.0387956696744
xception,6,block8,average,0.0662758903616
xception,6,block8,100ms,0.0830537592823
xception,6,block8,200ms,0.0357627451489
xception,6,block9,average,0.0713165697533
xception,6,block9,100ms,0.0930302744726
xception,6,block9,200ms,0.0424200982286
xception,6,block10,average,0.0633623014035
xception,6,block10,100ms,0.0835300188542
xception,6,block10,200ms,0.035726573728
xception,6,block11,average,0.0708898295513
xception,6,block11,100ms,0.0918370819326
xception,6,block11,200ms,0.042009390246
xception,6,block12,average,0.0640763218137
xception,6,block12,100ms,0.0850656132389
xception,6,block12,200ms,0.0354266567061
xception,6,block13,average,0.068086643527
xception,6,block13,100ms,0.0952787698339
xception,6,block13,200ms,0.0356410864669
xception,6,block14,average,0.134106473268
xception,6,block14,100ms,0.166263499185
xception,6,block14,200ms,0.0635795123128
xception,6,pool,average,0.119913272188
xception,6,pool,100ms,0.160038371474
xception,6,pool,200ms,0.0538017263501
xception,6,fc,average,0.0998330388454
xception,6,fc,100ms,0.13945766504
xception,6,fc,200ms,0.04562034855
